"","(Intercept)","H_Shannon","H_Renyi","H_Tsallis","H_Fisher","C_Shannon","C_Renyi","C_Tsallis","C_Fisher","Disequilibrium"
"AR(2)",-1577.89379935035,221.18048979776,1492.50693087865,-40.6786788472082,683.80564024883,-1498.59709504917,-897.526655033441,-1409.97975999082,-867.392473734144,-1731.07996275671
"MA(2)",-1434.15622714961,-229.425335878983,2339.37472096708,234.264243349114,-1275.30802628708,14.4346654961617,252.448488117565,57.5884190253719,2698.21992942307,176.348680322267
"Logistic",-1367.73816718957,304.654840686357,801.94545595206,126.673321549184,-2268.88035126148,-891.44175783335,-488.402738002763,-708.669311756756,6188.07060195326,-1577.08623391601
"Sine",333.626187105313,-77.0486461049842,551.772192712529,95.1181018152457,-3223.81886217696,-836.769362143505,-448.96430094197,-342.887433520362,6464.48133704629,832.893252445691
"ARMA+Sine(w=0.1)",2219.03682653649,-1491.33734408949,-1614.45746399083,-1489.40098580721,-712.739845398536,255.079866528772,-294.459371773261,314.626810144569,1351.71441372307,3237.52543629733
"ARMA+Sine(w=0.2)",1901.79136281031,-658.195667379161,-1971.60379007612,-416.385141748831,-568.831921295631,2010.74133508509,1087.54423934786,1838.48042352471,-83.2934500994673,2155.93806969184
"ARMA+Sine(w=0.3)",1818.38085412335,-558.463135155055,-2325.53989245299,-276.150569495172,-469.852449328116,2107.81725607167,1379.72017089285,1866.74065738769,-339.584821280345,2178.08082028699
"AR2+Logistic(w=0.1)",-117.340207641779,-975.365323595854,-901.1940769981,-597.415004035661,-388.679718677759,753.9550146165,505.266877412963,815.80246772175,1721.13762140521,1161.26135585391
"AR2+Sine(w=0.8)",-880.168299965045,456.366962846883,690.927362830858,-598.029292281309,1303.93592037621,-3029.09220782948,-2510.62005312024,-2732.27780281252,-2195.13645984929,-2505.42586760806
"MA2+Logistic(w=0.2)",235.519728347552,-1063.41598792957,-1536.81339091492,-524.458435922712,416.210503271532,2015.18654599459,1443.94226763206,1777.1567296859,-1204.60209751374,1876.78066811921
"MA2+Logistic(w=0.7)",-1575.09140443964,-4.43864804880919,2195.68581509014,285.609463004696,-1238.2107621552,24.3444252654739,381.309957822916,62.0758841879087,2763.9120426303,15.7102693581362
"MA2+Sine(w=0.4)",1342.06257186434,-357.077221202122,-1925.35834331702,752.566756623782,-1613.24797321182,3463.21475391615,3106.4577557328,3132.46354106483,-1020.42034405012,2634.55813843768
"MA2+Sine(w=0.6)",1360.39175373756,1027.00829293487,-2052.96731001265,573.053910628899,-1344.0318469005,-681.851056354827,-419.091991511332,-620.909089556926,3655.15123365148,-1476.56613415669
"MA2+Sine(w=0.8)",-1743.89890014194,846.359777802617,2431.25715917291,-380.754456676113,-737.212394079074,-4337.77417292963,-3786.17229794423,-3694.16080817386,3817.54110403333,-3630.29124696442
