"H_Shannon","H_Renyi","H_Tsallis","H_Fisher","C_Shannon","C_Renyi","C_Tsallis","C_Fisher","n","Model"
0.972046614198069,0.960852919384495,0.975375252222858,0.15891380513447,0.0282574506694303,0.0126787108500722,0.0128703369098068,0.00209691009387297,"1000","AR2_M1"
0.97609007161462,0.96625494043183,0.978824874466033,0.137510296735291,0.0241358327151874,0.0108451713089499,0.0109862552840364,0.00154340501914771,"1000","AR2_M1"
0.956418600287236,0.940559702802086,0.962266226654882,0.240592935444745,0.0441294988246141,0.0196987943725181,0.0201534091605476,0.00503890475924827,"1000","AR2_M1"
0.961064997238405,0.946598126613215,0.966191869236935,0.224913035655005,0.0394835035205783,0.0176522821292577,0.0180176687310667,0.00419420686383018,"1000","AR2_M1"
0.974931318756009,0.96470094253252,0.977834232503715,0.140132592159293,0.0253167698355656,0.0113710160214455,0.0115258192812875,0.00165175535786966,"1000","AR2_M1"
0.96983168009576,0.957873642910679,0.973465591309547,0.168932208700859,0.0304824530074984,0.013665768737076,0.0138882155728944,0.00241011798731022,"1000","AR2_M1"
0.961649832032374,0.947613739230917,0.96685004587234,0.218846916761255,0.0390894226854092,0.0174842071112821,0.0178391318611572,0.0040378950408895,"1000","AR2_M1"
0.971494317755288,0.959983952438639,0.974818786963806,0.152002510218175,0.0287315486888903,0.012887095345505,0.0130862423484054,0.00204052457018852,"1000","AR2_M1"
0.961756082752104,0.947040188902764,0.966478425171548,0.202848791377171,0.0384712746496247,0.0171954022849679,0.0175483422090267,0.00368312412886219,"1000","AR2_M1"
0.960647407290744,0.946007349966902,0.965808735684817,0.23598492785394,0.0398670422412978,0.0178203737862682,0.0181933815594019,0.00444535618294072,"1000","AR2_M1"
0.969114678186487,0.956964539088839,0.9728818569524,0.17917180566965,0.0312273545812836,0.0139967809343898,0.0142295912445936,0.00262060756813931,"1000","AR2_M1"
0.948905250990989,0.930949759139767,0.955974743801057,0.291731844498242,0.0515871824466444,0.0229729887418614,0.0235905287167579,0.00719904840567704,"1000","AR2_M1"
0.969985118982102,0.958081134888327,0.973598755008603,0.181906590520871,0.0303245541976747,0.0135957740827316,0.0138159788751802,0.00258136896638718,"1000","AR2_M1"
0.962852720096199,0.94865223179957,0.967522431104175,0.240758437416995,0.0374928130451342,0.0167674683272705,0.017100999898233,0.00425541556599163,"1000","AR2_M1"
0.968744579888094,0.956383517381831,0.972508534587208,0.19915031784734,0.0315405359438828,0.0141339699297018,0.0143722744426451,0.00294315465792481,"1000","AR2_M1"
0.966758549627816,0.953874510931065,0.970894195945391,0.199573603973508,0.0336287474267475,0.0150610833178604,0.015329813524095,0.00315114267447692,"1000","AR2_M1"
0.968447930688832,0.956269073217408,0.972434978165666,0.186376488025757,0.0320450536727474,0.0143627345998165,0.0146055392756558,0.00279929165141079,"1000","AR2_M1"
0.973398820420663,0.962544017550011,0.976456949206135,0.129248505404745,0.0268100250911413,0.0120337033477215,0.0122076425018737,0.00161586186586659,"1000","AR2_M1"
0.964036291344826,0.950194155488313,0.968519615982122,0.222011181071886,0.0362959758050342,0.016238643424603,0.016551822175316,0.00379413026788047,"1000","AR2_M1"
0.956328741396143,0.940432400299434,0.962183237174764,0.243774112629466,0.0441980457198568,0.0197285759960222,0.0201848693331461,0.00511394131608185,"1000","AR2_M1"
0.962397963787947,0.948171859061987,0.967211485417131,0.22964127117776,0.0380246279402113,0.0170047259329766,0.0173461868453008,0.00411843785697384,"1000","AR2_M1"
0.970817485901901,0.959253301442583,0.974350560492906,0.164120573782256,0.0295290725488416,0.0132439586642142,0.0134523994113086,0.00226593548528895,"1000","AR2_M1"
0.9722308330361,0.961388794082201,0.97571819743883,0.170838656513276,0.0282876937310102,0.0126969527719271,0.0128861995769543,0.00225624676168534,"1000","AR2_M1"
0.961878225553493,0.947500833858393,0.966776906141804,0.233602535546619,0.038551618621837,0.017237505649828,0.017588187562728,0.00424983797629121,"1000","AR2_M1"
0.944923407500842,0.926274137154996,0.95289404225407,0.314444140697382,0.0557603169691916,0.0248107825128323,0.0255238118952071,0.00842256614358189,"1000","AR2_M1"
0.967146446494809,0.954239758711786,0.971129428488059,0.162147795235935,0.033134101819137,0.0148392778585318,0.0151019272613269,0.00252154258475108,"1000","AR2_M1"
0.971181579540877,0.959626559482562,0.974589795469091,0.162549120549752,0.029082136657062,0.0130436888668306,0.0132470761040018,0.00220944296828462,"1000","AR2_M1"
0.959260891746425,0.944219460278183,0.964648007931788,0.241514589728461,0.0412627136400809,0.0184359826656506,0.0188348521724444,0.00471559735532651,"1000","AR2_M1"
0.959658517756028,0.944668255988437,0.964939548373145,0.23263439091463,0.0408181054617296,0.0182384421564653,0.0186298142505857,0.00449140622160691,"1000","AR2_M1"
0.956903937740271,0.941547729299183,0.962910007031233,0.235356778481292,0.0439196459508831,0.0196157594152828,0.0200608109910179,0.00490331164292792,"1000","AR2_M1"
0.960493868435895,0.945761640313155,0.965649327061587,0.220483646232201,0.0399834470715952,0.0178706203536698,0.0182464077449582,0.00416614437301967,"1000","AR2_M1"
0.974479663287778,0.964028513596325,0.977405145083392,0.118765433220904,0.0257442827302324,0.0115603289696929,0.0117207373583618,0.00142419799715246,"1000","AR2_M1"
0.958889840401421,0.943702818369992,0.964312249013858,0.23651799089875,0.0416063351687737,0.018586529074082,0.0189924384074081,0.00465829753690483,"1000","AR2_M1"
0.96226397140233,0.947954150541645,0.967070518431883,0.204206903894585,0.0381300757932662,0.0170503411420876,0.0173941769634086,0.00367295968162883,"1000","AR2_M1"
