"H_Shannon","H_Renyi","H_Tsallis","H_Fisher","C_Shannon","C_Renyi","C_Tsallis","C_Fisher","Var_Shannon","Var_Renyi","Var_Tsallis","Var_Fisher","n","Model"
0.953356027691152,0.936735938123435,0.959769352963636,0.26049580006401,0.0472416494446834,0.0210697515943846,0.0215878360505289,0.00585926254705724,0.0834654505362099,0.0173577205467496,0.057094158591807,3.42174434357037,"1000","ARMA22_M1"
0.945870890587047,0.927704048827193,0.953837561083184,0.331889583854633,0.0550142260281493,0.0244920364180942,0.0251819794389483,0.00876211738520498,0.0625908290921283,0.0259445766762388,0.0341075556431209,3.79627605843033,"1000","ARMA22_M1"
0.948096353722012,0.930226255904504,0.955498881209241,0.312103790152592,0.0526003969471767,0.0234259620771288,0.0240624046180917,0.00785973466759828,0.0952402077344015,0.017750244173551,0.0654916672412517,4.09440526881042,"1000","ARMA22_M1"
0.948085126876846,0.930143869348959,0.955444674355254,0.304658264645769,0.052552681510719,0.0234029159266154,0.0240394976769767,0.00766536445468801,0.0828821833885922,0.013788138678199,0.0573149575046432,3.55654208132,"1000","ARMA22_M1"
0.939176532972048,0.919367995108836,0.948320010159542,0.349707386845565,0.0616019167919765,0.0273721349008685,0.0282341166816527,0.0104117587511123,0.0906073164291021,0.00884846453255847,0.063437159943195,4.09127674420523,"1000","ARMA22_M1"
0.955154040227595,0.939039521739613,0.961274590343264,0.269606222162075,0.0454560375521169,0.0202849679713245,0.0207652860452962,0.00582398658929285,0.0850377014073393,0.0145811853579899,0.0605316654121334,3.80511094843076,"1000","ARMA22_M1"
0.954007858792921,0.93753026369071,0.96028874237918,0.260724703824607,0.046562601674088,0.0207703052472061,0.0212745028903422,0.00577616733416834,0.0744739415633951,0.0205300939979131,0.0484657790659503,3.19487112198943,"1000","ARMA22_M1"
0.93183754607327,0.910916394936479,0.942683754940513,0.403293863860264,0.0692231305601575,0.030715801101702,0.03178698602804,0.0135989363861791,0.0760873084788612,0.0226899732650426,0.0453015003327152,4.03670820622462,"1000","ARMA22_M1"
0.931957392063673,0.910698609936839,0.942537952377873,0.362061694631653,0.0688226764858473,0.0305268836669197,0.0315941477344426,0.0121364138603822,0.0821611083411011,0.0233527107290787,0.0490757968176518,3.64543130522381,"1000","ARMA22_M1"
0.931794446661341,0.910918959317446,0.9426854715712,0.386717797173978,0.0692929820342021,0.0307483044423578,0.031820591257622,0.0130537589970609,0.082430198211879,0.0261952816144449,0.0456567062254001,4.32435638723466,"1000","ARMA22_M1"
0.938509420162343,0.918679176651994,0.947862242299456,0.351517019839373,0.0623683955184495,0.027711632131743,0.0285919289755728,0.0106033864589546,0.0973459617535069,0.0098889867300162,0.0686816848685769,3.98641903911562,"1000","ARMA22_M1"
0.962950367010806,0.948752766728412,0.967587490518357,0.184423110376897,0.0373742380445263,0.0167145156795208,0.0170463337222676,0.00324904767412713,0.0703811001211966,0.0158697956922856,0.0502784777040066,2.23124930226319,"1000","ARMA22_M1"
0.928332987986212,0.906532728185545,0.939743497044122,0.412356492806464,0.072501287381821,0.0321364366838089,0.0333137529984448,0.0146179701076607,0.10727791360918,0.0278849257445017,0.0621907726201244,5.20103551878071,"1000","ARMA22_M1"
0.943752965112744,0.924854259593666,0.951955947629172,0.336082984400291,0.0569472304592403,0.0253314399054676,0.0260737458144114,0.00920519728841017,0.0652923363020788,0.0212699381732248,0.0385954082850009,3.59801278186734,"1000","ARMA22_M1"
0.952714429273716,0.935856027560302,0.959193570028682,0.254465008888187,0.0478376773188211,0.021329893217146,0.0218617990596492,0.00579972913273286,0.090285784071673,0.00786949606001923,0.0679164978354707,2.94268802229195,"1000","ARMA22_M1"
