"","(Intercept)","H_Shannon","H_Renyi","H_Tsallis","H_Fisher","C_Shannon","C_Renyi","C_Tsallis","C_Fisher","Disequilibrium"
"AR(2)",94585.4216538026,78741.7775907212,74388.4245124474,84785.3254290749,252209.376042723,17596.1798547338,14525.5671232392,16555.7903601615,49248.9455055274,21136.8328785375
"MA(2)",9194.85680107386,8262.70845444027,11581.3297064505,7112.92619574617,61176.1012641092,13781.5045053081,11925.946868549,12184.8158411188,4949.15346756374,14191.7002908595
"Logistic",8766.76664573005,5180.10645651323,5092.31635798854,6638.66006690515,55903.4251556675,3044.180740623,2614.9429776294,3409.00217159316,28706.8317754684,5151.94473405305
"Sine",6.73341198772444e-41,3.97863799978794e-41,3.91120984460856e-41,5.09889621605232e-41,4.29372433771085e-40,2.33811665349784e-41,2.00843584691074e-41,2.6183217845275e-41,2.20485993317359e-40,3.95700807768881e-41
"ARMA+Sine(w=0.1)",4.64104807871885e-13,2.34493431515951e-13,1.88121232475473e-13,2.7691133403073e-13,1.01795814220661e-12,1.26511238893448e-13,8.86852388042627e-14,1.30543200603983e-13,4.79891928297026e-13,2.50388566804122e-13
"ARMA+Sine(w=0.2)",319.660037946347,191.007907853715,154.413467020729,215.229257942221,545.2664355646,82.6074794841826,58.3536728424368,81.3363107969625,206.059177051943,138.247307626855
"ARMA+Sine(w=0.3)",319.660037939992,191.007907849073,154.413467016369,215.229257936916,545.266435538532,82.6074794824736,58.3536728410357,81.3363107952565,206.059177043617,138.247307624514
"AR2+Logistic(w=0.1)",8549.82803765917,5543.47015839624,5256.12029409593,6698.19968171597,42957.2045236795,2693.21773446971,2231.36691635839,2843.5771970398,18236.7912815743,4153.85184612466
"AR2+Sine(w=0.8)",9.71005662948513e-06,8.61764015346341e-06,8.20418949075072e-06,9.01407470003107e-06,2.0974651920523e-05,1.25732725910259e-06,1.04593381322837e-06,1.14922674656339e-06,2.67540086498842e-06,1.41679164875799e-06
"MA2+Logistic(w=0.2)",110.661182179004,86.2509190006574,80.7300032400296,95.4217023073174,372.835639236903,25.4853427651794,20.843795865041,24.6370679273986,96.2629964018803,32.6980680102309
"MA2+Logistic(w=0.7)",13703.4890803999,8103.57011215431,14160.2612908008,7197.72284059496,62561.9620916694,16032.3966093364,13358.8114825063,14332.636017369,9937.80586232292,17189.4274152912
"MA2+Sine(w=0.4)",0.330938158004525,0.259195485180475,0.229854313639943,0.277909358138754,0.311405905617431,0.0643034530872204,0.0498281302487233,0.0602455736001134,0.067507037919382,0.0821020064903766
"MA2+Sine(w=0.6)",2513.75517792414,16467.6355341609,22732.9365112167,9965.24255050267,162047.538715909,20782.7914623173,17393.5835856945,18840.6244935274,14841.7106081071,22872.5970187805
"MA2+Sine(w=0.8)",12489.4546519863,7974.2800502321,15556.4972558506,3873.68277380104,52934.902806847,25119.5220013423,21654.2346950749,22049.116396255,27555.5669912655,25464.8335800805
