"","H_Shannon","H_Renyi","H_Tsallis","H_Fisher","C_Shannon","C_Renyi","C_Tsallis","C_Fisher","Disequilibrium"
"H_Shannon",1,0.99,0.985,-0.631,-0.877,-0.82,-0.906,-0.756,-0.985
"H_Renyi",0.99,1,0.989,-0.564,-0.869,-0.798,-0.883,-0.675,-0.959
"H_Tsallis",0.985,0.989,1,-0.493,-0.798,-0.72,-0.825,-0.643,-0.942
"H_Fisher",-0.631,-0.564,-0.493,1,0.854,0.913,0.872,0.929,0.749
"C_Shannon",-0.877,-0.869,-0.798,0.854,1,0.989,0.991,0.834,0.921
"C_Renyi",-0.82,-0.798,-0.72,0.913,0.989,1,0.984,0.874,0.887
"C_Tsallis",-0.906,-0.883,-0.825,0.872,0.991,0.984,1,0.89,0.954
"C_Fisher",-0.756,-0.675,-0.643,0.929,0.834,0.874,0.89,1,0.853
"Disequilibrium",-0.985,-0.959,-0.942,0.749,0.921,0.887,0.954,0.853,1
