"Motor_load","Embed_dim","DF_key","S_entropy","P_entropy","Stat_complexity"
"0","3","DE_time","0.975555071465547","0.975555071465547","0.0229943418798889"
"0","3","FE_time","0.999456442482174","0.999456442482174","0.000533503267075199"
"0","3","BA_time","0.98729994875756","0.98729994875756","0.0121406886413345"
"0","4","DE_time","0.885710996728421","0.885710996728421","0.143658692725802"
"0","4","FE_time","0.987523154963678","0.987523154963678","0.0167970534707039"
"0","4","BA_time","0.9777057855632","0.9777057855632","0.0291260115156149"
"0","5","DE_time","0.873989683688702","0.873989683688702","0.203498871964089"
"0","5","FE_time","0.974668024315009","0.974668024315009","0.0447231715045741"
"0","5","BA_time","0.951418387956232","0.951418387956232","0.0853770549509581"
"0","6","DE_time","0.861695651395453","0.861695651395453","0.273857888215626"
"0","6","FE_time","0.964412945490842","0.964412945490842","0.0803367092739098"
"0","6","BA_time","0.919739487400153","0.919739487400153","0.183237978872009"
"1","3","DE_time","0.975914881433024","0.975914881433024","0.0226663160125701"
"1","3","FE_time","0.999006548138145","0.999006548138145","0.000973035793957682"
"1","3","BA_time","0.98330229073346","0.98330229073346","0.0158693278847848"
"1","4","DE_time","0.88151092705024","0.88151092705024","0.14853082857468"
"1","4","FE_time","0.991849021704775","0.991849021704775","0.0109614441404888"
"1","4","BA_time","0.972857513226813","0.972857513226813","0.0348608921557538"
"1","5","DE_time","0.869094805224684","0.869094805224684","0.209216568322402"
"1","5","FE_time","0.984933738798542","0.984933738798542","0.0272564699470209"
"1","5","BA_time","0.950642166274668","0.950642166274668","0.0844219907432279"
"1","6","DE_time","0.856146639100863","0.856146639100863","0.279590110048886"
"1","6","FE_time","0.978854118610517","0.978854118610517","0.0497002724048851"
"1","6","BA_time","0.924907491407985","0.924907491407985","0.1661016302859"
"2","3","DE_time","0.974699014390042","0.974699014390042","0.0237740563194478"
"2","3","FE_time","0.998433761749508","0.998433761749508","0.00153083252979693"
"2","3","BA_time","0.974755989061183","0.974755989061183","0.0237221581489289"
"2","4","DE_time","0.885467432038336","0.885467432038336","0.14404622428996"
"2","4","FE_time","0.994876969262764","0.994876969262764","0.0068354145627403"
"2","4","BA_time","0.959079534989587","0.959079534989587","0.0509054017874681"
"2","5","DE_time","0.873988166995024","0.873988166995024","0.203746706390856"
"2","5","FE_time","0.989440231694804","0.989440231694804","0.019445194959314"
"2","5","BA_time","0.937782855859977","0.937782855859977","0.100495721041085"
"2","6","DE_time","0.862151152986417","0.862151152986417","0.273329810175962"
"2","6","FE_time","0.984478988687365","0.984478988687365","0.037447945508482"
"2","6","BA_time","0.913075313799566","0.913075313799566","0.180097250390598"
"3","3","DE_time","0.972219758196053","0.972219758196053","0.0260234196598554"
"3","3","FE_time","0.993977696282414","0.993977696282414","0.00582301666350217"
"3","3","BA_time","0.95467785884913","0.95467785884913","0.0416031535649817"
"3","4","DE_time","0.891822411081044","0.891822411081044","0.13694833615383"
"3","4","FE_time","0.990091753956243","0.990091753956243","0.0129598898066712"
"3","4","BA_time","0.926882664576827","0.926882664576827","0.0857064129887758"
"3","5","DE_time","0.880491008106945","0.880491008106945","0.19823900827347"
"3","5","FE_time","0.983883406970472","0.983883406970472","0.0282452489688111"
"3","5","BA_time","0.903204213711343","0.903204213711343","0.142421602108597"
"3","6","DE_time","0.869336387156862","0.869336387156862","0.26984320813395"
"3","6","FE_time","0.976781899230291","0.976781899230291","0.052422313573863"
"3","6","BA_time","0.87508566130915","0.87508566130915","0.231189246720192"
